Name,Textbox3
"Cuyahoga Valley NP
Recreation Visits",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,"85,195","83,784","104,225","171,879","255,362","306,943","335,174","332,781","236,792","245,369","149,398","116,488"
2015,"76,795","72,272","105,883","210,102","283,076","250,161","319,145","287,975","206,668","227,876","129,512","115,147"
2014,"89,704","81,166","98,108","198,023","245,144","246,874","286,307","273,080","221,783","228,171","109,529","111,960"
2013,"84,333","78,012","104,524","181,602","260,588","260,571","289,470","282,907","239,958","78,947","125,141","116,957"
2012,"86,320","90,599","149,846","194,132","257,820","272,900","290,576","282,757","236,390","203,339","122,400","112,643"
2011,"81,375","85,897","80,347","147,180","266,216","256,025","283,279","294,445","199,990","225,421","126,099","114,911"
2010,"108,972","80,931","155,486","238,394","309,477","273,111","271,603","304,191","254,221","258,050","117,910","120,324"
2009,"103,680","95,854","125,105","257,775","235,029","297,327","347,105","309,167","250,824","278,090","172,849","116,483"
2008,"102,496","161,192","111,166","186,788","203,352","361,457","427,995","422,704","256,417","309,012","140,200","145,454"
2007,"101,974","96,340","178,670","166,334","208,068","351,112","308,512","321,610","245,970","280,078","118,438","109,550"
2006,"165,462","246,261","155,013","181,654","222,555","285,798","237,651","289,735","270,245","182,068","98,662","133,712"
2005,"251,858","136,394","167,899","173,008","227,866","293,581","288,451","298,267","241,981","218,612","132,778","103,132"
2004,"244,737","254,183","181,631","160,318","260,642","373,601","356,790","408,862","279,209","366,784","247,374","172,044"
2003,"256,967","223,868","208,856","194,959","246,032","347,928","309,731","249,006","259,371","286,433","94,103","202,337"
2002,"251,492","249,791","156,363","192,741","293,015","419,842","406,916","351,286","279,230","262,022","147,299","207,938"
2001,"264,954","202,007","162,218","258,546","265,973","372,413","385,033","331,307","290,214","253,652","172,580","164,456"
2000,"234,185","238,190","219,440","210,843","284,839","443,135","339,458","305,064","265,275","376,690","174,997","232,802"
1999,"204,020","206,250","222,529","230,975","270,049","392,161","396,233","345,041","332,420","342,141","185,112","197,353"
1998,"204,907","294,331","206,420","231,626","282,832","395,413","467,174","412,410","322,829","307,877","179,090","162,198"
1997,"213,929","276,795","166,650","200,917","242,214","533,993","487,809","370,797","340,423","398,734","156,051","139,525"
1996,"196,766","282,182","191,805","182,618","244,111","509,525","441,335","490,487","401,641","277,322","98,305","139,781"
1995,"213,224","265,372","209,578","136,665","274,405","379,152","406,769","350,423","421,389","291,811","92,361","154,058"
1994,"204,793","242,469","145,351","149,139","183,554","358,259","369,125","385,138","351,888","513,377","187,721","175,587"
1993,"180,056","218,234","88,498","149,971","167,211","208,387","215,796","220,820","273,109","252,508","100,498","191,051"
1992,"178,409","94,415","58,610","79,369","99,282","163,179","145,941","147,142","121,273","193,516","57,162","92,084"
1991,"120,824","113,448","76,752","91,260","97,938","144,125","162,272","138,011","124,842","145,729","61,347","82,436"
1990,"70,940","103,399","70,479","91,060","71,180","126,472","106,273","129,365","118,818","124,011","102,490","86,135"
1989,"77,335","155,301","72,643","68,883","74,578","114,384","113,310","89,092","101,603","156,750","72,157","63,612"
1988,"126,807","151,795","90,987","73,994","103,255","138,027","131,476","77,120","89,994","130,415","43,000","72,847"
1987,"117,543","113,758","73,525","72,053","89,584","123,090","132,636","80,332","87,986","97,549","71,514","53,835"
1986,"137,888","128,684","65,974","80,547","92,016","92,614","141,857","71,387","62,263","79,965","39,480","49,473"
1985,"167,254","132,671","40,798","76,752","68,569","85,848","101,033","70,038","72,240","85,060","28,020","76,575"
1984,"153,808","138,673","43,072","57,705","56,950","94,192","129,041","88,092","74,067","129,033","32,493","21,702"
1983,"75,729","110,218","54,692","47,477","49,916","89,192","90,601","66,126","117,488","80,085","68,273","89,765"
1982,"47,000","28,000","28,000","79,000","86,536","67,928","62,243","91,210","87,929","72,917","37,982","29,070"
1981,"43,000","26,000","26,400","72,000","108,000","85,000","52,600","52,000","46,000","43,500","17,900","23,900"
1980,"15,700","36,300","26,200","81,000","94,000","81,000","59,500","48,500","41,200","41,300","16,500","22,100"
1979,"26,500","38,500","24,500","55,000","76,000","71,500","51,500","52,500","49,000","52,500","23,225","22,300"

